source	reference	first_translation	first_bleu	first_comet	reflection	second_translation	second_bleu	second_comet	second_correct
Itekisi lodwa	Text	Only the taxi	0	0.4937044084072113	"Error Diagnosis: Literal phrasing
Minimal Correction: Use more contextually appropriate translation
Must-Preserve: Itekisi lodwa
Factual Detail: The translation should reflect the correct context of the original isiZulu phrase."	Only one taxi	0	0.4911121726036072	FALSE
_Phezulu	_Up	Above	0	0.5003823637962341	"Error Diagnosis: Inaccurate translation
Minimal Correction: Change to ""Up""
Must-Preserve: Phezulu
Factual Detail: Captures the direction of the location accurately."	Up	0	0.830679178	TRUE
ibha yemenyu	info bar	menu board	0	0.579173207	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Update to ""info bar""
Must-Preserve: ""ibha yemenyu""
Factual Detail: ""ibha yemenyu"" refers to a bar displaying information, not just a menu."	info bar	0.2213885886251307	0.9830957651138306	TRUE
Dlulela engomeni elandelayo	Next track	Proceed to the next song	0	0.6734299659729004	"Error Diagnosis: Inaccurate wording
Minimal Correction: Use ""Next track"" instead of ""next song""
Must-Preserve: engomeni, elandelayo
Factual Detail: Refers to the next music track, not necessarily a song."	Proceed to the next track	0.045649693	0.8053097724914551	TRUE
Ulwembu	Network	The swarm	0	0.5186271667480469	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Change ""swarm"" to ""network""
Must-Preserve: Ulwembu
Factual Detail: Emphasize the interconnected nature of the concept."	Ulwembu	0	0.6466084718704224	FALSE
Hambisa i-evince ngendlela yombukiso	Run evince in presentation mode	Deliver the evidence in the form of a presentation	0.030601688609851067	0.618114173	"Error Diagnosis: Incorrect software reference
Minimal Correction: Use correct software name
Must-Preserve: i-evince
Factual Detail: Specific software name required for accuracy."	Present the evidence using Evince software	0	0.627467692	FALSE
X ubekelwe ukusebenza	X display to use	X is assigned to work	0.05428694	0.6563723087310791	"Error Diagnosis: Misinterpretation of meaning
Minimal Correction: Change ""assigned"" to ""displayed""
Must-Preserve: X
Factual Detail: Emphasize the action of displaying, not just working."	X is displayed for work	0.045649693	0.7512138485908508	TRUE
Ongathintwa okhethiwe ungaphandle kolayini	The contact is offline	If you are selected, you are outside the line.	0	0.4560060501098633	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use correct translation
Must-Preserve: okhethiwe, ungaphandle kolayini
Factual Detail: Reflects the idea of being offline."	If you are not chosen, you are offline.	0.023457495174891017	0.5450354218482971	FALSE
Ungan_aki ukupotsozwa kabili kwangaphakathi:	_Ignore duplicate keypresses (Bounce Keys)	You cannot be caught twice from within.	0	0.4477430582046509	"Error Diagnosis: Misinterpretation of the original meaning.
Minimal Correction: Use the correct translation for ""Ignore duplicate keypresses.""
Must-Preserve: Duplicate keypresses
Factual Detail: Reflect the technical term for avoiding multiple key inputs."	Ignore duplicate keypresses.	0.079461006	0.8152458071708679	TRUE
Isiqalisi sabelo	Weather Information	The introduction of the section	0	0.4471909701824188	"Error Diagnosis: Inaccurate meaning
Minimal Correction: Replace with ""Weather Information""
Must-Preserve: Isiqalisi sabelo
Factual Detail: The original term refers specifically to weather information."	Weather Information	0.2213885886251307	0.982897937	TRUE
Ngokwangaphandle	By extension	On the outside	0	0.543138862	"Error Diagnosis: Misinterpretation of context
Minimal Correction: Use broader meaning
Must-Preserve: Ngokwangaphandle
Factual Detail: Capture the extended meaning of the term."	"Ngokwangaphandle
On the outside"	0	0.5279117226600647	FALSE
M_ayelana	_About	About M	0	0.6597744226455688	"Error Diagnosis: Incorrect omission of key word.
Minimal Correction: Include the word ""About"" in the translation.
Must-Preserve: M
Factual Detail: Capturing the essence of the subject being discussed."	About M	0	0.6597744226455688	FALSE
Vula uhlamvu ngalodwa olukhethiwe ngefasitela lokuyaluza	The geometry string for a navigation window.	Open a single selected character in the dialog window.	0.063026476	0.48123130202293396	"Error Diagnosis: Literal phrasing
Minimal Correction: Use accurate terminology
Must-Preserve: geometry string, navigation window
Factual Detail: Specific technical term needed"	Open a single selected character in the glyph window using the navigation panel.	0.024869542143125947	0.5995968580245972	FALSE
Ulwembu	Network	The swarm	0	0.5186271667480469	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Replace with ""network""
Must-Preserve: Ulwembu
Factual Detail: The term refers to a connected system rather than a swarm."	Network	1	0.9799266457557678	TRUE
Ayifani	Does not match	It is not the same.	0.037593405	0.6232336759567261	"Error Diagnosis: Overly literal translation
Minimal Correction: Use more idiomatic equivalent
Must-Preserve: Ayifani
Factual Detail: Captures the essence of similarity/difference in isiZulu."	They are not the same.	0.037593405	0.6230079531669617	FALSE
i-Shutter	Shutter	The Shutter	0.067544361	0.6954705715179443	"Error Diagnosis: The inclusion of the definite article ""The""
Minimal Correction: Remove the definite article ""The""
Must-Preserve: Shutter
Factual Detail: Shutter is a noun referring to a device used to open and close a window."	Shutter	1	0.9851820468902588	TRUE
Sebenzisa iphutha lesizinda sedesktop	Unable to rename desktop icon	Use desktop domain error	0.04753272	0.5517865419387817	"Error Diagnosis: Misinterpretation of source phrase.
Minimal Correction: Correctly translate as ""desktop icon"".
Must-Preserve: desktop, icon
Factual Detail: The translation must convey the action of renaming the desktop icon."	Use the desktop icon	0.13100905001347277	0.704820991	TRUE
Chofoza phezukomcimbi onebhlokhi elikhululekile eduze kwalo, futhi lizoshitshwa lenzwe ibhlokhi elingena lutho.	Click on any item that has a free block beside it, and it will be swapped with the empty block.	Press above the event with a block that is free near it, and it will be released to make a block that does not let anything in.	0.1959280139287724	0.5379160046577454	"Error Diagnosis: Incorrect action verb.
Minimal Correction: Replace ""press"" with ""click"".
Must-Preserve: ""free block"", ""swapped"", ""empty block""
Factual Detail: The action should involve swapping a block with the empty space."	Click on the empty block next to the event with a free block, and it will be swapped to create a block that does not allow anything in.	0.26116807896416294	0.7118068933486938	TRUE
isi-Baltic	Baltic	isi-Baltic	0	0.6940411925315857	"Error Diagnosis: Inclusion of unnecessary prefix ""isi-""
Minimal Correction: Remove prefix ""isi-""
Must-Preserve: Baltic
Factual Detail: Language spoken in the Baltic region."	Baltic	1	0.9880052208900452	TRUE
isiphakeli esisha	new server	a new supplier	0.0724975	0.6362985372543335	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Replace ""supplier"" with ""server""
Must-Preserve: new
Factual Detail: The translation refers to a new technological server, not a supplier."	a new server	0.21177974141341938	0.9507901072502136	TRUE
Imbobo yokuxhumana	Port	Communication channel	0	0.5667418241500854	"Error Diagnosis: Incorrect translation
Minimal Correction: Replace with ""Port""
Must-Preserve: Imbobo yokuxhumana
Factual Detail: Implies a physical location for communication."	Communication port	0	0.702824056	TRUE
Umxhumanisi unqamukile, ngabe ufuna ukuyihambisa ku?	The Link "%s" is Broken. Move it to Trash?	The connector has been disconnected, do you want to move it to?	0.049070511103326775	0.5650258660316467	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use correct context and wording
Must-Preserve: Link, Broken, Trash
Factual Detail: The translation should convey that a link is broken and needs to be moved to the trash."	The connector has been disconnected, do you want to move it to the trash?	0.043314127	0.6370211243629456	FALSE
Cisha	Shut Down	Cisha	0	0.5863510370254517	"Error Diagnosis: Misinterpretation
Minimal Correction: Change to ""Shut Down""
Must-Preserve: Cisha
Factual Detail: Expresses the action of forcefully closing or stopping something."	Shut Down	0.2213885886251307	0.9830284118652344	TRUE
isiphakeli esisha	new server	a new supplier	0.0724975	0.6362985372543335	"Error Diagnosis: Misinterpretation of context
Minimal Correction: Use correct term
Must-Preserve: new server
Factual Detail: The translation should refer to a technological component, not a supplier."	new server	0.2213885886251307	0.9876099228858948	TRUE
Ukuzazisa	ID	Self-awareness	0	0.4883328676223755	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Replace with ""ID""
Must-Preserve: ""Ukuzazisa""
Factual Detail: ""ID"" is the accurate translation for the isiZulu term ""Ukuzazisa."""	ID	1	0.9840797781944275	TRUE
Umbala wokubona ngale	Transparency color	The color of sight beyond	0.045649693	0.5397589206695557	"Error Diagnosis: Literal phrasing
Minimal Correction: Use idiomatic expression
Must-Preserve: Transparency color
Factual Detail: Conveying the concept of clarity and visibility."	The transparency of seeing clearly	0	0.6270306706428528	FALSE
_Isibekisi-bhukwini	Bookmarks	Book cover	0	0.5851174592971802	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Change to ""bookmarks""
Must-Preserve: Isibekisi-bhukwini
Factual Detail: The term refers specifically to bookmarks, not book covers."	Bookmarks	1	0.9829055666923523	TRUE
%s: Ngakhoni ukufunda isibonakaliso senhlanganiso	%s: Could not read Session ID	I was able to learn the organization's sign.	0	0.47471168637275696	"Error Diagnosis: Misinterpretation of the source text
Minimal Correction: Translate ""isibonakaliso"" as ""Session ID""
Must-Preserve: Ngakhoni ukufunda, inhlangothi
Factual Detail: Reflecting the specific term for ""Session ID"" in isiZulu."	I was able to learn the Session ID of the organization.	0.047747532	0.6065031290054321	FALSE
_Ungakwenzi	_Undo	You shouldn't do that.	0	0.47421908378601074	"Error Diagnosis: Wrong interpretation
Minimal Correction: Change to match correct translation
Must-Preserve: Ungakwenzi
Factual Detail: Translate accurately to convey meaning of ""undo"" in isiZulu."	Don't undo.	0	0.47602659463882446	FALSE
Priscilla Mahlangu	translator-credits	Priscilla Mahlangu	0	0.5420687794685364	"Error Diagnosis: Lack of translation.
Minimal Correction: Translate ""Priscilla Mahlangu"" accurately.
Must-Preserve: Priscilla Mahlangu
Factual Detail: Accurate attribution of the translator."	Priscilla Mahlangu	0	0.5420687794685364	FALSE
_Isibekisi-bhukwini	Bookmarks	Book cover	0	0.5851174592971802	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Change to ""bookmarks""
Must-Preserve: Isibekisi-bhukwini
Factual Detail: Indicates small strips of paper used to mark a place in a book."	Bookmarks	1	0.9829055666923523	TRUE
Igama lozokwengamela eliqinisekiswe isitifiketi alifani negama lesiphakeli.	The hostname verified by the certificate doesn't match the server name.	The name of the approved supervisor does not match the name of the supplier.	0.052906544014577034	0.6152351498603821	"Error Diagnosis: Literal phrasing
Minimal Correction: Use correct technical terms
Must-Preserve: hostname, certificate, server name
Factual Detail: Emphasis on technical accuracy."	The name of the certified server hostname does not match the server name.	0.3079300751569292	0.7739185094833374	TRUE
_Ngenisa…	_Import…	I bring in…	0	0.5788838267326355	"Error Diagnosis: Incorrect meaning
Minimal Correction: Replace with accurate synonym
Must-Preserve: Ngenisa
Factual Detail: Correctly convey the action of ""bringing in"""	"Ngenisa...
I bring in..."	0	0.5640230774879456	FALSE
Oku_dlule	_Previous	What has passed	0	0.5474968552589417	"Error Diagnosis: Overly literal phrasing
Minimal Correction: Use more idiomatic translation
Must-Preserve: _Previous
Factual Detail: Capture the sense of something that has already happened."	It's in the past	0	0.4332968592643738	FALSE
Priscilla Mahlangu	translator-credits	Priscilla Mahlangu	0	0.5420687794685364	"Error Diagnosis: Missing translation.
Minimal Correction: Insert translator-credits.
Must-Preserve: Priscilla Mahlangu
Factual Detail: Acknowledgement of the translator's contribution."	"Priscilla Mahlangu
Translated by: [translator's name]"	0	0.6027637124061584	FALSE
Hambisa amafasitela kundawo yokusebenzela yamanje uma akhulisiwe	Move windows to current workspace when unminimized	Move the windows to the current work area if they have been expanded.	0.049070511103326775	0.6195432543754578	"Error Diagnosis: Inaccurate interpretation
Minimal Correction: Adjust translation for clarity
Must-Preserve: windows, current workspace
Factual Detail: Emphasize moving windows to the current workspace when unminimized."	Move the windows to the current workspace when unminimized.	0.32466791547509893	0.8212761878967285	TRUE
Okuqukethwe isibaya akubonakalanga.	The folder contents could not be displayed.	The content of the kraal is not visible.	0.033866335496821456	0.5337498784065247	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use the correct terminology
Must-Preserve: folder contents
Factual Detail: The translation must refer to the contents of a folder."	The contents of the folder are not visible.	0.038479586	0.8014660477638245	TRUE
%s uxhumeke egunjini	%s has joined the room	%s is connected in the room	0.1158794880657409	0.696107805	"Error Diagnosis: Misinterpretation of verb meaning.
Minimal Correction: Replace ""connected"" with ""joined"".
Must-Preserve: %s, egunjini
Factual Detail: Capture the action of joining the room."	%s has joined the room	1	0.9709453582763672	TRUE
Fihla indawo yohlu ekhoneni ngokuzenzakalela	Automatically hide panel into corner	Hide the list area in the corner automatically	0.028599617161713803	0.6786604523658752	"Error Diagnosis: Misinterpretation of isiZulu phrase.
Minimal Correction: Revise to match the intended meaning.
Must-Preserve: panel, corner
Factual Detail: The panel is automatically hidden in the corner."	Hide the panel in the corner automatically	0.038481967	0.8372052907943726	TRUE
Hlela umlayezo oqokiwe…	Edit Custom Messages…	Arrange the specified message…	0	0.6424561142921448	"Error Diagnosis: Literal phrasing
Minimal Correction: Use appropriate terminology
Must-Preserve: Custom Messages
Factual Detail: The translation should convey the idea of editing personalized messages."	Edit the customized message...	0.045649693	0.8489115238189697	TRUE
Akha umqalisi omusha	Create a new folder '%s'	Build a new beginning	0.061884293332739315	0.5066707730293274	"Error Diagnosis: Misinterpretation of the source text.
Minimal Correction: Change to match the original meaning.
Must-Preserve: ""Create a new folder""
Factual Detail: The action is creating a digital folder, not building or beginning something new."	Create a new folder	0.36787944117144233	0.8261463046073914	TRUE
ayenziwe	not implemented	it is done	0	0.5895330905914307	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Change to ""not implemented""
Must-Preserve: ayenziwe
Factual Detail: The action has not been carried out."	not implemented	0.2213885886251307	0.9865178465843201	TRUE
Ukushaya kohlelo	File Tools	The beating of the system	0	0.3325957655906677	"Error Diagnosis: Misinterpretation of context
Minimal Correction: Use correct term
Must-Preserve: File, Tools
Factual Detail: Accurately convey the function of the software feature."	Using software	0	0.4930076003074646	FALSE
ngaziwa	Unknown	I am known.	0	0.5310394167900085	"Error Diagnosis: Incorrect meaning
Minimal Correction: Change to 'Unknown'
Must-Preserve: ngaziwa
Factual Detail: Indicates lack of knowledge or familiarity."	Unknown	1	0.9877035617828369	TRUE
Okwangaphandle	Extension(s)	Outside	0	0.4516849219799042	"Error Diagnosis: Misinterpretation
Minimal Correction: Change to ""extension(s)""
Must-Preserve: Okwangaphandle
Factual Detail: Reflects the concept of something being outside or an extension."	Extensions	0	0.8759506344795227	TRUE
Khipa	Eject	Lift	0	0.6971085667610168	"Error Diagnosis: Inaccurate meaning
Minimal Correction: Change to ""eject""
Must-Preserve: Khipa
Factual Detail: The action of forcefully removing something."	Eject	1	0.9848389029502869	TRUE
Asitholakalanga isifanekiso href phezu ko yelp:document	No href attribute found on yelp:document	We could not find the template link on Yelp: document	0.057445580856132834	0.6987374424934387	"Error Diagnosis: Incorrect interpretation of isiZulu phrase.
Minimal Correction: Remove ""template link,"" use ""attribute.""
Must-Preserve: Asitholakalanga, href, yelp:document
Factual Detail: Correctly identify the absence of an href attribute."	We could not find the attribute href on Yelp:document	0.065270781	0.8620572090148926	TRUE
Isikhombi esinephutha	Default	A reference with an error	0	0.4894811511039734	"Error Diagnosis: Incorrect reference translation
Minimal Correction: Use correct translation
Must-Preserve: Isikhombi, Default
Factual Detail: The translation must accurately convey the meaning of ""default."""	A default setting	0	0.7486336827278137	TRUE
Hlenga lelihele ngegama elihlukile	Save the current file with a different name	Change this name to a different one	0.078609008	0.6106938719749451	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Change file name, not name
Must-Preserve: Save the current file
Factual Detail: The translation refers to saving a file, not changing a personal name."	Save this file with a different name	0.5578002860768766	0.90132606	TRUE
Ihele akusi-isithombe.	These files are on a Video DVD.	It is not a picture.	0.032033495455712595	0.5124581456184387	"Error Diagnosis: Misinterpretation of source text.
Minimal Correction: Translate as ""These are not pictures.""
Must-Preserve: These files, Video DVD
Factual Detail: The source text refers to files on a Video DVD, not just any picture."	These are not pictures.	0.032971711177508564	0.5261666774749756	FALSE
AkukhoLanguagesLanguage	None	There are no languages.	0	0.5378511548042297	"Error Diagnosis: Overtranslation
Minimal Correction: Use ""None"" instead of ""There are no languages.""
Must-Preserve: None
Factual Detail: The translation should convey the absence of languages."	None of the languages exist.	0.037593405	0.5323020219802856	FALSE
Akuphumelelanga ukuguqula isithombe	Couldn't convert image	It was not possible to change the image.	0.02573285	0.695972204	"Error Diagnosis: Inaccurate interpretation
Minimal Correction: Use more accurate wording
Must-Preserve: Couldn't convert image
Factual Detail: Conveys the inability to change the image."	Couldn't convert image	1	0.9712797999382019	TRUE
Okujikelele	General	Circumference	0	0.6484932899475098	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use broader term
Must-Preserve: Okujikelele
Factual Detail: Emphasize the overall sense of protection or care."	Okujikelele	0	0.619026244	FALSE
Priscilla Mahlangu	translator-credits	Priscilla Mahlangu	0	0.5420687794685364	"Error Diagnosis: Missing translation
Minimal Correction: Add accurate translation
Must-Preserve: Priscilla Mahlangu
Factual Detail: Maintaining translator's name accuracy."	Priscilla Mahlangu	0	0.5420687794685364	FALSE
Uhambisa ohele	Moving Files	You carry the burden.	0	0.48333171010017395	"Error Diagnosis: Misinterpretation 
Minimal Correction: Change to ""Moving Files""
Must-Preserve: Uhambisa ohele
Factual Detail: Correctly convey the action of transferring files."	Moving Files	0.2213885886251307	0.965682328	TRUE
Indawo yokushaya uma ubhala	Keyboard	Place to write when you are writing	0	0.40712079405784607	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use appropriate term
Must-Preserve: Indawo yokushaya
Factual Detail: Refers to a keyboard as a place to write."	Place to type when you are typing	0	0.3359338939189911	FALSE
_Cishe	Right	About	0	0.6750520467758179	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Change to ""right""
Must-Preserve: _Cishe
Factual Detail: Represents the concept of being correct or right in isiZulu."	_Right	0	0.6920050382614136	FALSE
Umazisi yohlu lwento yendawo yohlu	Panel object ID list	The identifier of the list of things in the local list	0.021598265052211615	0.47049733996391296	"Error Diagnosis: Literal phrasing
Minimal Correction: Use more accurate terminology
Must-Preserve: Panel object, ID list
Factual Detail: Emphasize the specific identification of objects in a list."	The identifier of the list of items in the specific location	0.021598265052211615	0.5019784569740295	FALSE
_Nge	_About	_Nge	0	0.6737672090530396	"Error Diagnosis: Lack of context
Minimal Correction: Add appropriate context
Must-Preserve: _Nge
Factual Detail: The translation should convey the meaning of ""about""."	_Nge	0	0.6737672090530396	FALSE
Khetha imihume ebonakalayo kulesibaya	Mount the volume associated with this folder	Choose visible pathways in this kraal.	0.032359348	0.5081914067268372	"Error Diagnosis: Misinterpretation of context
Minimal Correction: Adjust translation to match the correct context
Must-Preserve: imihume, ebonakalayo, isibaya
Factual Detail: The translation should refer to mounting a volume associated with a folder."	Select the visible volumes in this folder.	0.078825884	0.7557367086410522	TRUE
Ngobungako	By Size	Regarding the extent	0	0.5216168761253357	"Error Diagnosis: Inaccurate interpretation
Minimal Correction: Replace with ""By Size""
Must-Preserve: Ngobungako
Factual Detail: Reflects the concept of size rather than extent."	By Size	0.2213885886251307	0.9793790578842163	TRUE
Izakhiwo	Properties	Structures	0	0.6993665099143982	"Error Diagnosis: Inaccurate translation
Minimal Correction: Change from ""Structures"" to ""Properties""
Must-Preserve: Izakhiwo
Factual Detail: Conveys the correct meaning of the term ""Izakhiwo"" as ""Properties"""	Properties	1	0.9841420650482178	TRUE
Ulwembu	Network	The cloud	0	0.6768069863319397	"Error Diagnosis: Misinterpretation
Minimal Correction: Use correct context
Must-Preserve: Ulwembu
Factual Detail: Refers to a network, not a cloud."	Network	1	0.9799266457557678	TRUE
i-thelephathi-salut ayifakwanga	telepathy-salut not installed	the telephone greetings have not been added	0.032359348	0.6567202806472778	"Error Diagnosis: Incorrect word choice
Minimal Correction: Use correct term
Must-Preserve: telepathy-salut
Factual Detail: Installation status requirement"	The telepathy-salut feature was not installed.	0.0906806	0.8901450037956238	TRUE
Hlanza ukhiphi miphumela	Debugging output	Clean up and remove the results	0	0.42176732420921326	"Error Diagnosis: Literal phrasing
Minimal Correction: Translate as ""Debugging output""
Must-Preserve: Hlanza, miphumela
Factual Detail: Reflects the concept of debugging rather than general cleaning."	Debugging output	0.2213885886251307	0.9843925833702087	TRUE
_Uhume olubonakalayo...	Visible _Columns...	The visible phenomenon...	0.061033220311973134	0.5747013688087463	"Error Diagnosis: Missing key element
Minimal Correction: Add ""Columns""
Must-Preserve: Visible
Factual Detail: The translation should include the word ""Columns"" for accuracy."	The visible columns...	0.061033220311973134	0.7670477032661438	TRUE
URL	URL				"Error Diagnosis: Inaccurate translation
Minimal Correction: Use the reference translation
Must-Preserve: None
Factual Detail: Maintain accuracy and fidelity to the source text."	"Source (isiZulu):
URL"	0.037593405	0.6715966463088989	FALSE
Gcina isithombe	Save Image	Keep the picture	0	0.5860963463783264	"Error Diagnosis: Incorrect verb choice
Minimal Correction: Change ""keep"" to ""save""
Must-Preserve: Image
Factual Detail: Correctly convey the action of preserving an image."	Save the picture	0.0724975	0.8508337736129761	TRUE
Intshengisa yokubona ngale	Transparency indicator	A demonstration of seeing beyond	0	0.5450435876846313	"Error Diagnosis: Misinterpreted meaning
Minimal Correction: Use accurate term
Must-Preserve: Transparency indicator
Factual Detail: Reflects the concept of monitoring visibility."	Monitor of visibility	0	0.6050953269004822	FALSE
right-ring-mode-1	Left Ring Mode #%d	right-ring-mode-1	0	0.6623563170433044	"Error Diagnosis: Wrong direction
Minimal Correction: Change ""right"" to ""left""
Must-Preserve: Ring Mode
Factual Detail: The correct direction is crucial for the user interface."	left-ring-mode-1	0	0.6238972544670105	FALSE
_Phuma	_Quit	Come out	0	0.5678212642669678	"Error Diagnosis: Inaccurate synonym
Minimal Correction: Replace with correct synonym
Must-Preserve: Phuma
Factual Detail: Express the idea of leaving or exiting"	Exit	0	0.6811976432800293	FALSE
Hlanganisa...	_Add...	Combine...	0.067544361	0.6776052117347717	"Error Diagnosis: Incorrect action verb
Minimal Correction: Replace with appropriate action verb
Must-Preserve: Hlanganisa
Factual Detail: Emphasize the action of bringing together."	Bring together...	0.0724975	0.6224249601364136	FALSE
Vala lelihele	Close the current file	Close the door	0.15174681566793558	0.6919013261795044	"Error Diagnosis: Misinterpretation of context
Minimal Correction: Change ""door"" to ""current file""
Must-Preserve: Vala lelihele
Factual Detail: The translation refers to closing a digital file, not a physical door."	Close this current file	0.18616487055295167	0.9002550840377808	TRUE
Into engakwazi ukuqaliswa	Not a launchable item	Something that can be started	0	0.6077455282211304	"Error Diagnosis: Misinterpretation
Minimal Correction: Revise to convey inability to be started
Must-Preserve: Not, launchable item
Factual Detail: Emphasize the impossibility of starting this item."	Something that cannot be started	0	0.6276803016662598	FALSE
Iya kwisiqephu	Go to Chapter	It goes to the episode	0.045649693	0.690676749	"Error Diagnosis: Incorrect meaning
Minimal Correction: Change ""episode"" to ""Chapter""
Must-Preserve: Iya kwisiqephu
Factual Detail: The correct translation refers to moving to a different section or division."	It goes to the chapter	0.045649693	0.7676919102668762	TRUE
Bonisa ukulingana kuhlu longabathinta	Show Balance in contact list	Show equality in the list of those affected.	0.033866335496821456	0.5576401948928833	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use more accurate translation
Must-Preserve: Balance, contact list
Factual Detail: Communication with contacts should be balanced."	Show equality in the contact list.	0.097442646	0.7401453852653503	TRUE
Okula_ndelayo	_Next	What is being done	0	0.4664870798587799	"Error Diagnosis: Incorrect context interpretation
Minimal Correction: Use appropriate context clue
Must-Preserve: Okula_ndelayo
Factual Detail: Signifies the concept of 'next' in isiZulu."	Next	0	0.849193811	TRUE
Phoqa Ukuyeka	Force Quit	Stop Giving Up	0	0.5551051497459412	"Error Diagnosis: Misinterpretation
Minimal Correction: Use accurate translation
Must-Preserve: Phoqa, Ukuyeka
Factual Detail: Correctly convey the meaning of ""force quit"" in isiZulu."	Force Quit	0.2213885886251307	0.9786490797996521	TRUE
uhlu lwetebhu lekhasi	page tab list	table of contents	0	0.5913087725639343	"Error Diagnosis: Misinterpretation of term meaning.
Minimal Correction: Replace with accurate term.
Must-Preserve: page tab list
Factual Detail: Term refers to a list of tabbed pages, not just content."	page tab list	0.5757197301274735	0.9781025648117065	TRUE
Okwangaphandle	Extension(s)	Outward Appearance	0	0.47838854789733887	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use the correct translation
Must-Preserve: Okwangaphandle
Factual Detail: Reflect the concept of extension(s) accurately."	Extension(s)	1	0.982880712	TRUE
Bambezela maphakathi nezithombe (imizuzwana)	Time between photos in burst mode	Breathe in the middle of the pictures (moments)	0.023457495174891017	0.5107108950614929	"Error Diagnosis: Misinterpretation
Minimal Correction: Use burst mode as the context
Must-Preserve: Time between photos, burst mode
Factual Detail: Emphasize the continuous shooting feature in cameras."	Capture moments in between with burst mode	0.097442646	0.7634575963020325	TRUE
Ukubukwa kwedokhumende	Document View	Government oversight	0	0.5226278305053711	"Error Diagnosis: Misinterpretation
Minimal Correction: Use accurate term
Must-Preserve: Document View
Factual Detail: Reflects the act of viewing documents."	Document viewing	0.067544361	0.8712372183799744	TRUE
Sedric Motha	translator-credits	Sedric Motha	0	0.48233917355537415	"Error Diagnosis: Missing attribution
Minimal Correction: Include translator-credits
Must-Preserve: Sedric Motha
Factual Detail: Acknowledging the translator's contribution."	Sedric Motha (Translated by)	0	0.5777269601821899	FALSE
Isizinda	Background	Foundation	0	0.5293514132499695	"Error Diagnosis: Inaccurate meaning
Minimal Correction: Change to ""background""
Must-Preserve: Isizinda
Factual Detail: Reflects the original context accurately."	Background	1	0.9842653274536133	TRUE
_Ungenzi	_Undo	You are not doing it.	0	0.4272436201572418	"Error Diagnosis: Incorrect negation
Minimal Correction: Change ""You are not doing it"" to ""Undo""
Must-Preserve: _Ungenzi
Factual Detail: Express the action of undoing."	"_Ungenzi
Undo"	0	0.7189756631851196	TRUE
Hl_ela	_Edit	To cry	0	0.4090368151664734	"Error Diagnosis: Incorrect meaning
Minimal Correction: Change translation to ""to watch""
Must-Preserve: Hl_ela
Factual Detail: The correct translation refers to watching, not crying."	Hl_ela	0	0.6818606853485107	FALSE
isi-Vietnam	Vietnamese	isi-Vietnam	0	0.6036682724952698	"Error Diagnosis: Incorrect language name
Minimal Correction: Use correct language name
Must-Preserve: Vietnamese
Factual Detail: Reflects the language spoken in Vietnam."	Vietnamese	1	0.9876918792724609	TRUE
Izisefo	Filter	The spoons	0	0.4292105436325073	"Error Diagnosis: Incorrect translation
Minimal Correction: Replace with correct translation
Must-Preserve: Filter
Factual Detail: The word refers to a specific type of tool, not spoons."	Medical instruments	0	0.5675745010375977	FALSE
Okuthatha ukushaya	Picker dialog	What it takes to hit	0	0.33300289511680603	"Error Diagnosis: Literal phrasing
Minimal Correction: Use appropriate terminology
Must-Preserve: Picker dialog
Factual Detail: Specific technical term needed."	Taking a swing	0	0.39206692576408386	FALSE
Ukuguqulwa kwewidget ebizela emuva	Conversion to widget callback	The transformation of the widget that was pulling back	0.02573285	0.5816572308540344	"Error Diagnosis: Misinterpretation of isiZulu term
Minimal Correction: Use correct translation of ""ebizela emuva""
Must-Preserve: widget, callback
Factual Detail: Maintain the concept of transformation and callback in the corrected translation."	The transformation of the widget that calls back	0.028599617161713803	0.6639630198478699	FALSE
Isikhala esikhululekile:no readno access	Free space:	Free space: no read no access	0.19308506685901675	0.5886184573173523	"Error Diagnosis: Missing information
Minimal Correction: Remove ""no read no access""
Must-Preserve: Free space
Factual Detail: The translation should accurately convey the concept of free space."	Free space: no access	0.29950981436291046	0.8247761726379395	TRUE
Bonisa ongabathinta abangaphandle kolayini	Show offline contacts	Show whom to contact outside of the line.	0.02573285	0.5582878589630127	"Error Diagnosis: Literal phrasing
Minimal Correction: Use more idiomatic expression
Must-Preserve: offline contacts
Factual Detail: Refers to contacts not accessible online."	Show who to contact for offline assistance.	0.034010868	0.6670306324958801	FALSE
